time,x_ref,y_ref,z_ref,yaw_ref,eta1,eta2,eta3,eta4,eta_min,controller_mode,fault_type,return_or_land_status,safety_active
0.0,0.0,0.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.02,6.297936187968923e-06,3.1489680939844615e-06,1.500001574484047,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.04,4.986650962652649e-05,2.4933254813263246e-05,1.5000124666274066,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.06,0.0001665642705830979,8.328213529154895e-05,1.5000416410676458,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.08,0.0003907287202509607,0.00019536436012548036,1.5000976821800627,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.1,0.000755197661147478,0.000377598830573739,1.500188799415287,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.12,0.001291330547512331,0.0006456652737561655,1.500322832636878,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.14,0.0020290298357057567,0.0010145149178528783,1.5005072574589264,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.16,0.0029967623346067724,0.0014983811673033862,1.5007491905836516,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.18,0.00422158055601142,0.00211079027800571,1.5010553951390029,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.2,0.005729144065030995,0.0028645720325154974,1.5014322860162577,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.22,0.007543740830490271,0.0037718704152451357,1.5018859352076226,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.24,0.00968830857532575,0.004844154287662875,1.5024220771438315,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.26,0.012184456126983894,0.006092228063491947,1.503046114031746,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.28,0.015052484767819332,0.007526242383909666,1.5037631211919549,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.3,0.01831140958549311,0.009155704792746555,1.5045778523963733,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.32,0.02197898082337097,0.010989490411685485,1.5054947452058427,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.34,0.0260717052309215,0.01303585261546075,1.5065179263077304,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.36,0.030604867414114403,0.015302433707057202,1.5076512168535285,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.38,0.03559255118581879,0.017796275592909395,1.5088981377964548,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.4,0.041047660916201316,0.020523830458100658,1.5102619152290504,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.42,0.04698194288312441,0.023490971441562206,1.511745485720781,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.44,0.05340600662254469,0.026703003311272344,1.5133515016556363,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.46,0.06032934627891095,0.030164673139455474,1.5150823365697277,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.48,0.06776036195556248,0.03388018097778124,1.5169400904888906,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.5,0.0757063810651275,0.03785319053256375,1.5189265952662818,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.52,0.08417367967992102,0.04208683983996051,1.5210434199199803,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.54,0.09316750388234338,0.04658375194117169,1.5232918759705858,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.56,0.10269209111527833,0.051346045557639164,1.5256730227788196,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.58,0.11275069153249125,0.05637534576624562,1.5281876728831227,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.6,0.12334558934902767,0.06167279467451384,1.530836397337257,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.62,0.13447812419161104,0.06723906209580552,1.5336195310479028,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.64,0.14614871244904132,0.07307435622452066,1.5365371781122603,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.66,0.15835686862259302,0.07917843431129651,1.5395892171556482,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.68,0.17110122667641353,0.08555061333820677,1.5427753066691035,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.7,0.1843795613879214,0.0921897806939607,1.5460948903469804,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.72,0.19818880969820427,0.09909440484910213,1.5495472024245511,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.74,0.21252509206241788,0.10626254603120894,1.5531312730156044,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.76,0.22738373380018298,0.11369186690009149,1.5568459334500457,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.78,0.24275928644598513,0.12137964322299256,1.5606898216114964,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.8,0.2586455490995713,0.12932277454978566,1.564661387274893,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.82,0.27503558977634973,0.13751779488817487,1.5687588974440874,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.84,0.2919217667577871,0.14596088337889354,1.5729804416894468,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.86,0.30929574994180714,0.15464787497090357,1.5773239374854517,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.88,0.3271485421931882,0.1635742710965941,1.581787135548297,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.9,0.34547050069396296,0.17273525034698148,1.5863676251734908,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.92,0.364251358293815,0.1821256791469075,1.5910628395734538,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.94,0.3834802448604783,0.19174012243023916,1.5958700612151195,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.96,0.4031457086301344,0.2015728543150672,1.6007864271575336,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
0.98,0.4232357375578122,0.2116178687789061,1.605808934389453,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.0,0.4437377806677839,0.22186889033389195,1.610934445166946,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.02,0.4646387694039657,0.23231938470198285,1.6161596923509913,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.04,0.48592513898031375,0.24296256949015688,1.6214812847450784,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.06,0.5075828497312247,0.25379142486561235,1.6268957124328063,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.08,0.5295974084619315,0.26479870423096574,1.632399352115483,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.1,0.5519538897989039,0.27597694489945196,1.637988472449726,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.12,0.5746369575402451,0.28731847877012257,1.6436592393850613,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.14,0.5976308860060906,0.2988154430030453,1.6494077215015226,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.16,0.6209195813890058,0.3104597906945029,1.6552298953472515,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.18,0.6444866031043864,0.3222433015521932,1.6611216507760966,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.2,0.6683151851408536,0.3341575925704268,1.6670787962852134,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.22,0.6923882574106539,0.34619412870532695,1.6730970643526635,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.24,0.7166884671000578,0.3583442335500289,1.6791721167750144,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.26,0.741198200019757,0.3705991000098785,1.6852995500049393,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.28,0.7658996019552627,0.38294980097763137,1.6914749004888157,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.3,0.7907746000173053,0.39538730000865263,1.6976936500043263,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.32,0.8158049239922303,0.40790246199611513,1.7039512309980576,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.34,0.840972127692399,0.4204860638461995,1.7102430319230997,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.36,0.8662576103065838,0.4331288051532919,1.716564402576646,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.38,0.8916426377503701,0.44582131887518506,1.7229106594375925,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.4,0.9171083640165513,0.45855418200827563,1.7292770910041377,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.42,0.9426358525255282,0.4713179262627641,1.7356589631313821,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.44,0.9682060974757078,0.4841030487378539,1.742051524368927,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.46,0.9938000451939017,0.4969000225969509,1.7484500112984755,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.48,1.0193986154857229,0.5096993077428614,1.7548496538714307,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.5,1.0449827229859836,0.5224913614929918,1.7612456807464958,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.52,1.0705332985090976,0.5352666492545488,1.7676333246272744,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.54,1.0960313103994732,0.5480156551997366,1.7740078275998683,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.56,1.121457785881915,0.5607288929409575,1.7803644464704789,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.58,1.1467938324120186,0.5733969162060093,1.7866984581030048,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.6,1.1720206590265758,0.5860103295132879,1.7930051647566438,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.62,1.1971195976939646,0.5985597988469823,1.799279899423491,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.64,1.2220721246645512,0.6110360623322756,1.8055180311661378,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.66,1.246859881821091,0.6234299409105455,1.8117149704552729,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.68,1.2714646980291187,0.6357323490145593,1.8178661745072797,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.7,1.2958686104873585,0.6479343052436792,1.8239671526218397,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.72,1.3200538860781093,0.6600269430390546,1.8300134715195273,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.74,1.3440030427176537,0.6720015213588268,1.8360007606794135,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.76,1.3676988707066482,0.6838494353533241,1.841924717676662,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.78,1.3911244540805277,0.6955622270402638,1.8477811135201319,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.8,1.4142631919599014,0.7071315959799507,1.8535657979899753,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.82,1.4370988199009478,0.7185494099504739,1.859274704975237,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.84,1.4596154312458176,0.7298077156229088,1.8649038578114543,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.86,1.4817974984730304,0.7408987492365152,1.8704493746182576,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.88,1.503629894547872,0.751814947273936,1.875907473636968,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.9,1.5250979142727938,0.7625489571363969,1.8812744785681985,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.92,1.546187295637809,0.7730936478189046,1.8865468239094523,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.94,1.566884241170896,0.783442120585448,1.8917210602927241,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.96,1.5871754392883881,0.7935877196441941,1.896793859822097,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
1.98,1.60704808564538,0.80352404282269,1.9017620214113449,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.0,1.6264899044861223,0.8132449522430611,1.9066224761215307,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.02,1.645489169994418,0.822744584997209,1.9113722924986045,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.04,1.664034727644028,0.832017363822014,1.916008681911007,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.06,1.6821160155490555,0.8410580077745278,1.920529003887264,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.08,1.6997230858143615,0.8498615429071807,1.9249307714535904,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.1,1.7168466258859496,0.8584233129429748,1.9292116564714874,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.12,1.7334779799013718,0.8667389899506859,1.9333694949753428,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.14,1.749609170040121,0.8748045850200605,1.9374022925100303,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.16,1.7652329178740338,0.8826164589370169,1.9413082294685085,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.18,1.7803426657176886,0.8901713328588443,1.945085666429422,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.2,1.7949325979787991,0.8974662989893996,1.9487331494946998,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.22,1.8089976625086188,0.9044988312543094,1.9522494156271546,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.24,1.822533591952335,0.9112667959761676,1.9556333979880838,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.26,1.8355369250994675,0.9177684625497338,1.9588842312748669,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.28,1.8480050282342724,0.9240025141171362,1.962001257058568,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.3,1.8599361164861263,0.9299680582430632,1.9649840291215317,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.32,1.8713292751799413,0.9356646375899706,1.9678323187949853,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.34,1.8821844811865565,0.9410922405932782,1.970546120296639,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.36,1.8925026242731278,0.9462513121365639,1.973125656068282,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.38,1.9022855284535423,0.9511427642267711,1.9755713821133856,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.4,1.9115359733388058,0.9557679866694029,1.9778839933347014,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.42,1.9202577154874367,0.9601288577437184,1.9800644288718592,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.44,1.928455509755877,0.9642277548779385,1.9821138774389693,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.46,1.9361351306488892,0.9680675653244446,1.9840337826622223,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.48,1.9433033936699369,0.9716516968349684,1.9858258484174842,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.5,1.9499681766716055,0.9749840883358027,1.9874920441679014,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.52,1.9561384412059883,0.9780692206029942,1.989034610301497,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.54,1.9618242538750845,0.9809121269375423,1.9904560634687711,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.56,1.967036807681204,0.983518403840602,1.991759201920301,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.58,1.9717884433773625,0.9858942216886812,1.9929471108443406,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.6,1.9760926708176711,0.9880463354088356,1.9940231677044178,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.62,1.9799641903077507,0.9899820951538754,1.9949910475769377,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.64,1.9834189139551217,0.9917094569775609,1.9958547284887804,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.66,1.9864739870196004,0.9932369935098002,1.9966184967549,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.68,1.9891478092636898,0.9945739046318449,1.9972869523159225,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.7,1.991460056303005,0.9957300281515025,1.9978650140757512,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.72,1.9934317009566378,0.9967158504783189,1.9983579252391594,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.74,1.9950850345975901,0.9975425172987951,1.9987712586493975,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.76,1.9964436885031294,0.9982218442515647,1.9991109221257823,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.78,1.9975326552052302,0.9987663276026151,1.9993831638013075,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.8,1.9983783098409376,0.9991891549204688,1.9995945774602344,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.82,1.9990084315027943,0.9995042157513971,1.9997521078756986,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.84,1.9994522245892092,0.9997261122946046,1.9998630561473023,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.86,1.9997403401548919,0.9998701700774459,1.999935085038723,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.88,1.9999048972612048,0.9999524486306024,1.9999762243153012,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.9,1.9999795043266175,0.9999897521633088,1.9999948760816544,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.92,1.9999992804770468,0.9999996402385234,1.9999998201192617,0.4636476090008061,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.9496875,2.000006297936188,0.999993702063812,2.0000012595872376,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.9696875,2.0000498665096265,0.9999501334903734,2.000009973301925,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
2.9896875,2.0001665642705833,0.9998334357294169,2.0000333128541166,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
3.0096875,2.000390728720251,0.9996092712797491,2.0000781457440504,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
3.0296875,2.0007551976611473,0.9992448023388525,2.0001510395322293,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
3.0496875,2.001291330547512,0.9987086694524877,2.0002582661095025,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
3.0696875,2.0020290298357057,0.9979709701642943,2.0004058059671412,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
3.0896875,2.0029967623346066,0.9970032376653932,2.000599352466921,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
3.1096875,2.0042215805560115,0.9957784194439886,2.0008443161112024,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
3.1296875,2.005729144065031,0.994270855934969,2.0011458288130064,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
3.1496875,2.0075437408304904,0.9924562591695097,2.0015087481660983,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
3.1696875,2.009688308575326,0.9903116914246742,2.0019376617150653,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
3.1896875,2.0121844561269837,0.9878155438730161,2.002436891225397,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
3.2096875,2.0150524847678195,0.9849475152321807,2.003010496953564,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
3.2296875,2.0183114095854933,0.9816885904145068,2.003662281917099,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
3.2496875,2.021978980823371,0.978021019176629,2.0043957961646743,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
3.2696875,2.0260717052309216,0.9739282947690785,2.0052143410461842,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
3.2896875,2.0306048674141146,0.9693951325858856,2.006120973482823,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
3.3096875,2.0355925511858186,0.9644074488141812,2.007118510237164,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
3.3296875,2.041047660916201,0.9589523390837987,2.00820953218324,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
3.3496875,2.0469819428831246,0.9530180571168756,2.009396388576625,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
3.3696875,2.0534060066225446,0.9465939933774553,2.010681201324509,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
3.3896875,2.0603293462789107,0.939670653721089,2.0120658692557822,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
3.4096875,2.0677603619555627,0.9322396380444375,2.0135520723911124,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
3.4296875,2.0757063810651273,0.9242936189348725,2.0151412762130256,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
3.4496875,2.084173679679921,0.9158263203200789,2.0168347359359844,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
3.4696875,2.093167503882343,0.9068324961176566,2.0186335007764686,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
3.4896875,2.102692091115278,0.8973079088847217,2.0205384182230555,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
3.5096875,2.1127506915324914,0.8872493084675087,2.022550138306498,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
3.5296875,2.123345589349028,0.8766544106509724,2.0246691178698057,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
3.5496875,2.134478124191611,0.8655218758083889,2.026895624838322,-0.7853981633974483,1.0,1.0,1.0,1.0,1.0,NORMAL,none,nominal_tracking,0
