time,desired_acceleration_x,desired_acceleration_y,desired_acceleration_z,unconstrained_acceleration_x,unconstrained_acceleration_y,unconstrained_acceleration_z,auxiliary_x,auxiliary_y,auxiliary_z,solver_cost,solver_iterations
0.0,1.2,1.2,10.60665,4.539120470127327,1.4456983349657202,2.308980509745127,3.75,3.75,2.3,1.3064925,0.0
0.01,2.4,1.7465798237022527,11.406649999999999,4.840001958863859,1.7465798237022527,2.5392653673163412,3.75,3.75,2.3,1.2432724892764755,0.0
0.02,3.5999999999999996,1.8836262829263242,12.106649999999998,5.140883447600393,1.8836262829263242,2.769550224887556,3.75,3.75,2.3,1.2132713943508362,0.0
0.03,3.75,1.9179885684908315,12.106649999999998,5.441764936336925,1.9179885684908315,2.9710494752623684,3.75,3.75,2.3,1.2117460253616679,0.0
0.04,3.75,1.9266043815216976,12.106649999999998,5.4793751224289915,1.9266043815216976,2.9710494752623684,3.75,3.75,2.3,1.2118788522146025,0.0
0.05,3.75,1.9287646637311995,12.106649999999998,5.4793751224289915,1.9287646637311995,2.9710494752623684,3.75,3.75,2.3,1.2119123421886253,0.0
0.06,3.75,1.9293063211706047,12.106649999999998,5.4793751224289915,1.9293063211706047,2.9710494752623684,3.75,3.75,2.3,1.2119207509568977,0.0
0.07,3.75,1.9294421334178993,12.106649999999998,5.4793751224289915,1.9294421334178993,2.9710494752623684,3.75,3.75,2.3,1.2119228600597411,0.0
0.08,3.75,1.9294761862438614,12.106649999999998,5.4793751224289915,1.9294761862438614,2.9710494752623684,3.75,3.75,2.3,1.2119233889308834,0.0
0.09,3.75,1.9294847244646705,12.106649999999998,5.4793751224289915,1.9294847244646705,2.9710494752623684,3.75,3.75,2.3,1.2119235215400646,0.0
0.1,3.75,1.9294868652918273,12.106649999999998,5.4793751224289915,1.9294868652918273,2.9710494752623684,3.75,3.75,2.3,1.2119235547899534,0.0
0.11,3.75,1.9294874020712127,12.106649999999998,5.4793751224289915,1.9294874020712127,2.9710494752623684,3.75,3.75,2.3,1.2119235631268617,0.0
0.12,3.75,1.9294875366603632,12.106649999999998,5.4793751224289915,1.9294875366603632,2.9710494752623684,3.75,3.75,2.3,1.2119235652172136,0.0
0.13,3.75,1.9294875704065162,12.106649999999998,5.4793751224289915,1.9294875704065162,2.9710494752623684,3.75,3.75,2.3,1.211923565741337,0.0
0.14,3.75,1.9294875788678438,12.106649999999998,5.4793751224289915,1.9294875788678438,2.9710494752623684,3.75,3.75,2.3,1.211923565872753,0.0
0.15,3.75,1.9294875809893912,12.106649999999998,5.4793751224289915,1.9294875809893912,2.9710494752623684,3.75,3.75,2.3,1.2119235659057035,0.0
0.16,3.75,1.9294875815213364,12.106649999999998,5.4793751224289915,1.9294875815213364,2.9710494752623684,3.75,3.75,2.3,1.2119235659139653,0.0
0.17,3.75,1.9294875816547132,12.106649999999998,5.4793751224289915,1.9294875816547132,2.9710494752623684,3.75,3.75,2.3,1.2119235659160368,0.0
0.18,3.75,1.9294875816881554,12.106649999999998,5.4793751224289915,1.9294875816881554,2.9710494752623684,3.75,3.75,2.3,1.2119235659165561,0.0
0.19,3.75,1.9294875816965407,12.106649999999998,5.4793751224289915,1.9294875816965407,2.9710494752623684,3.75,3.75,2.3,1.2119235659166865,0.0
0.2,3.75,1.929487581698643,12.106649999999998,5.4793751224289915,1.929487581698643,2.9710494752623684,3.75,3.75,2.3,1.2119235659167191,0.0
