time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,z_ref_rate,yaw_ref
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,4.269242969878937e-18,5.545390613547856e-19,2.797992180277854e-06,0.0,0.0,3.685209876543211e-07,-3.534289384368451e-16,-9.912666617966296e-16,-5.504280801451585e-15,-9.576046805119366e-05,9.576046797260112e-05,-9.57604679386455e-05,9.576046791316068e-05,0.00011037160493827163,0.0
0.02,7.220338453357643e-18,2.6101995657490008e-18,5.739012254618798e-06,0.0,0.0,2.9334123456790133e-06,-5.796827407701279e-16,-1.9404644277722856e-15,-1.07236111789481e-14,1.255589905952635e-05,-1.2555899192288026e-05,1.2555899249711205e-05,-1.2555899304356434e-05,0.0004385382716049384,0.0
0.03,1.0969829562594481e-17,-3.894218508351095e-18,8.698003991844641e-06,0.0,0.0,9.8506e-06,-4.0938548973617553e-16,-4.703270405582936e-15,-4.997910497711518e-14,0.0004375616717897822,-0.00043756167225980945,0.00043756167217924986,-0.0004375616726153458,0.0009801,0.0
0.04,1.1055932624789021e-17,-8.291351874065178e-18,1.1645067030129141e-05,0.0,0.0,2.3232158024691366e-05,-3.744136520028826e-16,-6.659132270284782e-15,-8.070772243137046e-14,0.0012735148163738113,-0.0012735148170813758,0.001273514816850959,-0.001273514817532959,0.0017306864197530868,0.0
0.05,4.691787498028071e-18,-1.2291073152770614e-17,1.4574278128576525e-05,0.0,0.0,4.5146604938271606e-05,-3.469562573904907e-16,-8.248394522394873e-15,-1.1065552555131213e-13,0.0026022914025700407,-0.0026022914034980536,0.002602291403091933,-0.002602291403999792,0.0026859567901234564,0.0
0.06,-8.487349841435653e-18,-1.29727173973516e-17,1.7486167437708577e-05,0.0,0.0,7.761920000000002e-05,-8.014419536617085e-16,-8.172611112411005e-15,-1.280619854755131e-13,0.004495759322114836,-0.004495759323176617,0.004495759322578848,-0.004495759323560128,0.0038416000000000006,0.0
0.07,-3.113974072241839e-17,-1.3396677858080925e-17,2.038285054525744e-05,0.0,0.0,0.00012263223950617286,-5.655090979312405e-16,-9.086287063648442e-15,-1.4425483778580308e-13,0.007017178387846214,-0.007017178389002041,0.007017178388277839,-0.007017178389360664,0.005193334567901235,0.0
0.08,-6.512548376665766e-17,-1.393743852738838e-17,2.3266546011219213e-05,0.0,0.0,0.0001821253530864198,1.5018978191863178e-15,-1.2639526644363636e-14,-1.5784445454460933e-13,0.010222256275311576,-0.010222256276376575,0.010222256275847637,-0.010222256277171783,0.0067369086419753095,0.0
0.09,-1.0817949742100277e-16,-7.5354258744046e-18,2.613926981797942e-05,0.0,0.0,0.0002579958,-2.038099262767042e-15,-2.1036916294172247e-14,-1.7676981547509998e-13,0.014160015766706948,-0.014160015768201837,0.01416001576819692,-0.014160015769351213,0.008468100000000001,0.0
0.1,-1.7021163906636883e-16,3.1595095359898548e-18,2.900284309421865e-05,0.0,0.0,0.00035209876543209874,-6.831769641770585e-15,-3.1488332027485464e-14,-1.9657822959901623e-13,0.018873562175171048,-0.018873562177140465,0.01887356217769673,-0.018873562178651625,0.010382716049382717,0.0
0.11,-2.576998895892091e-16,4.353328547155513e-17,3.1858943905230106e-05,0.0,0.0,0.0004662476567901235,-2.5178884405013585e-14,-6.035308173156077e-14,-2.2769400120280896e-13,0.024400713664014122,-0.024400713667526407,0.02440071367002586,-0.024400713669918986,0.012476593827160494,0.0
0.12,-4.012479787232624e-16,1.0821006883249768e-16,3.47091540381487e-05,0.0,0.0,0.0006022144,-4.3390643588873025e-14,-8.676657342815412e-14,-2.587155742461578e-13,0.030774643758168362,-0.030774643762974906,0.0307746437667815,-0.030774643765840434,0.0147456,0.0
0.13,-6.273936922550629e-16,2.1440254640147308e-16,3.7554990472623766e-05,0.0,0.0,0.0007617297358024694,-6.026043155778493e-14,-1.1139909012157634e-13,-2.899096358127874e-13,0.03802433544706553,-0.03802433545290208,0.03802433545761327,-0.03802433545609325,0.01718563086419753,0.0
0.14,-9.60283372617663e-16,3.7942165864945214e-16,4.039793059140169e-05,0.0,0.0,0.0009464835160493828,-7.29688396404522e-14,-1.3140458376034374e-13,-3.1928632752189935e-13,0.04617509064251183,-0.04617509064895695,0.04617509065404609,-0.046175090652327576,0.019792612345679018,0.0
0.15,-1.4174814684039319e-15,6.112888335935831e-16,4.3239427805293785e-05,0.0,0.0,0.0011581249999999999,-8.610503029130733e-14,-1.5086106713980285e-13,-3.5081797994966997e-13,0.05524891544353384,-0.05524891545060879,0.05524891545596689,-0.0552489154540645,0.022562499999999996,0.0
0.16,-2.0194001333130336e-15,9.276801177580773e-16,4.608092215590151e-05,0.0,0.0,0.0013982631506172843,-9.406743625992019e-14,-1.631100041292478e-13,-3.796468482105726e-13,0.06526487544060504,-0.06526487544788502,0.06526487545290786,-0.06526487545119276,0.025491279012345682,0.0
0.17,-2.775077922461679e-15,1.3303976722646815e-15,4.892384773328976e-05,0.0,0.0,0.0016684669308641982,-1.050073006319331e-13,-1.7517924952131397e-13,-4.12212844249159e-13,0.07623941044034972,-0.07623941044813938,0.07623941045289033,-0.07623941045112707,0.02857496419753087,0.0
0.18,-3.700175483503114e-15,1.837216044729394e-15,5.176963747606237e-05,0.0,0.0,0.0019702656,-1.0955705033036285e-13,-1.7904769682013702e-13,-4.4110301051021793e-13,0.08818663374409773,-0.08818663375187882,0.08818663375576685,-0.0881866337544013,0.0318096,0.0
0.19,-4.799252695181566e-15,2.4520555976147338e-15,5.461972595022374e-05,0.0,0.0,0.002305149009876544,-1.0882011731355114e-13,-1.7688977282899195e-13,-4.675263552645583e-13,0.10111858154210214,-0.10111858154953268,0.10111858155225742,-0.10111858155158834,0.03519126049382717,0.0
